id,code,name,reconcile,user_type_id/id,chart_template_id/id,currency_id/id
account_6152,6152,稅捐,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615201,615201,稅捐-城建稅,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615202,615202,稅捐-教育費附加,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615203,615203,稅捐-地方教育費附加,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615204,615204,稅捐-印花稅,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615205,615205,稅捐-個人所得稅,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615206,615206,稅捐-住房公積金,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615207,615207,稅捐-殘疾人公基金,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615208,615208,稅捐-其他,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615209,615209,稅捐-企業所得稅,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_615210,615210,稅捐-證交稅,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_710101,710101,利息收入-銀行,FALSE,data_account_type_non_operating_income,l10n_chart_ovis,
account_7102,7102,租賃收入,FALSE,data_account_type_non_operating_income,l10n_chart_ovis,
account_710901,710901,兌換盈益-匯兌盈益,FALSE,data_account_type_non_operating_income,l10n_chart_ovis,
account_711001,711001,其他收入,FALSE,data_account_type_non_operating_income,l10n_chart_ovis,
account_810101,810101,利息支出-銀行,FALSE,data_account_type_non_operating_expenses,l10n_chart_ovis,
account_810901,810901,兌換虧損-匯兌虧損,FALSE,data_account_type_non_operating_expenses,l10n_chart_ovis,
account_811001,811001,其他損失,FALSE,data_account_type_non_operating_expenses,l10n_chart_ovis,
